Target Gift Flag,Control Number,Target Gift Amount,Gift Count 36 Months,Gift Count All Months,Gift Count Card 36 Months,Gift Count Card All Months,Gift Amount Last,Gift Amount Average 36 Months,Gift Amount Average All Months,Gift Amount Average Card 36 Months,Time Since Last Gift,Time Since First Gift,Promotion Count 12 Months,Promotion Count 36 Months,Promotion Count All Months,Promotion Count Card 12 Months,Promotion Count Card 36 Months,Promotion Count Card All Months,Status Category 96NK,Status Category Star All Months,Demographic Cluster,Age,Gender,Home Owner,Median Home Value Region,Percent Veterans Region,Median Income Region,Observation Number
0,29637,.,1,1,1,1,20,20,20,20,21,21,10,15,13,4,7,6,F,0,35,53,M,U,168100,37,71509,5
0,123712,.,2,4,2,3,15,20,13,20,17,57,13,34,44,6,16,18,A,0,35,58,M,H,234700,22,72868,7
1,187915,20,2,13,1,8,13.11,9.06,3.93,5,19,75,7,15,29,2,6,13,E,1,36,.,F,U,134400,41,0,12
0,182029,.,1,1,0,0,20,20,20,.,16,16,12,17,14,5,5,6,F,0,16,.,F,U,68200,47,0,13
0,35996,.,7,15,3,8,5,5.29,5.67,5.67,17,93,12,30,58,6,15,22,S,1,39,.,M,H,104400,35,54385,18
0,176929,.,4,5,1,1,10,41.5,35.2,50,18,33,14,33,33,6,15,13,A,0,45,.,F,U,70000,37,0,19
1,5532,15,2,14,2,6,14,10,9.93,10,4,64,30,50,103,6,16,24,S,1,37,76,M,H,169000,50,83169,28
0,118908,.,3,5,3,4,15,16.33,15.8,16.33,9,41,23,39,44,9,16,17,F,0,25,50,M,U,192800,0,71033,32
1,15038,25,1,10,1,9,19,19,12.8,19,17,108,14,32,66,6,15,27,A,1,40,75,M,U,84900,21,59500,38
0,189536,.,2,2,1,1,16,13,13,16,24,28,10,23,22,4,10,9,A,0,42,41,M,H,111700,42,59500,40
0,15163,.,1,1,0,0,20,20,20,.,20,20,11,18,16,4,4,6,F,0,51,31,F,H,45400,11,37236,44
1,15350,15,2,2,1,1,20,17.5,17.5,15,18,23,12,24,21,6,12,10,N,0,22,70,F,U,107100,32,77654,51
1,1799,10,8,21,6,12,9,7.25,9.24,7.67,4,75,25,46,88,11,21,32,A,1,27,.,M,H,86000,35,51338,65
0,4132,.,4,21,2,9,10,14.75,10.95,17.5,19,111,30,51,103,6,17,29,A,1,50,71,F,U,89400,24,40898,84
1,15800,5,11,38,7,23,5,5.09,4.97,5.14,15,127,14,34,83,7,18,34,S,1,35,69,F,H,66900,40,42537,90
0,16450,.,3,3,0,0,21,13.67,13.67,.,15,32,12,25,25,5,5,9,A,0,32,73,M,U,50600,8,45037,95
0,16532,.,1,2,1,1,15,3,9,3,25,30,11,23,22,4,9,8,A,0,24,54,M,H,121400,24,73547,99
1,16643,12.5,3,3,1,1,15,13.67,13.67,16,18,27,12,26,23,6,13,11,N,0,24,83,F,H,89500,25,66208,101
