ADDRESS,TYPE,SELLERG,REGIONNAME,AREANUM,DISTANCE_INTERVAL,ROOMS,BATHROOM,CAR,LANDSIZE,BUILDINGAR,PRICE_INTERVAL
Bloomburg St,h,Biggin,Northern Metropolitan,3.0,< 5 km,2,1.0,0.0,156.0,79.0,1M-1.5M
Charles St,h,Biggin,Northern Metropolitan,3.0,< 5 km,3,2.0,0.0,134.0,150.0,1M-1.5M
Park St,h,Nelson,Northern Metropolitan,3.0,< 5 km,4,1.0,2.0,120.0,142.0,1.5M-2M
Yarra St,h,Nelson,Northern Metropolitan,3.0,< 5 km,3,2.0,0.0,245.0,210.0,1.5M-2M
Charles St,h,Nelson,Northern Metropolitan,3.0,< 5 km,2,1.0,2.0,256.0,107.0,1.5M-2M
Valiant St,h,Biggin,Northern Metropolitan,3.0,< 5 km,2,1.0,2.0,220.0,75.0,1M-1.5M
Nicholson St,h,Nelson,Northern Metropolitan,3.0,< 5 km,3,2.0,2.0,214.0,190.0,1M-1.5M
Nicholson St,u,Biggin,Northern Metropolitan,3.0,< 5 km,2,2.0,1.0,0.0,94.0,500k-1M
William St,h,Jellis,Northern Metropolitan,3.0,< 5 km,2,1.0,2.0,238.0,97.0,1M-1.5M
Henry St,h,Jellis,Northern Metropolitan,3.0,< 5 km,3,2.0,1.0,113.0,110.0,1M-1.5M
Yarra St,h,LITTLE,Northern Metropolitan,3.0,< 5 km,3,1.0,1.0,138.0,105.0,1M-1.5M
Valiant St,h,Biggin,Northern Metropolitan,3.0,< 5 km,2,1.0,1.0,150.0,73.0,500k-1M
Charles St,h,Kay,Northern Metropolitan,3.0,< 5 km,4,2.0,2.0,780.0,135.0,1M-1.5M
Nicholson St,u,Collins,Northern Metropolitan,3.0,< 5 km,2,1.0,1.0,0.0,60.0,500k-1M
William St,h,Biggin,Northern Metropolitan,3.0,< 5 km,2,2.0,1.0,124.0,135.0,1M-1.5M
Park St,h,Marshall,Northern Metropolitan,3.0,< 5 km,2,1.0,0.0,147.0,85.0,1M-1.5M
Abbotsford St,h,Nelson,Northern Metropolitan,3.0,< 5 km,3,3.0,1.0,166.0,174.0,1M-1.5M
Park St,h,Nelson,Northern Metropolitan,3.0,< 5 km,2,2.0,2.0,98.0,128.0,1M-1.5M
Stafford St,h,Biggin,Northern Metropolitan,3.0,< 5 km,3,1.0,1.0,168.0,124.0,1M-1.5M
Gipps St,u,Nelson,Northern Metropolitan,3.0,< 5 km,1,1.0,1.0,0.0,50.0,300k-500k
Studley St,h,Jellis,Northern Metropolitan,3.0,< 5 km,2,1.0,0.0,162.0,91.0,1M-1.5M
Yarra St,h,Jellis,Northern Metropolitan,3.0,< 5 km,3,2.0,1.0,120.0,128.0,1M-1.5M
Nicholson St,h,Nelson,Northern Metropolitan,3.0,< 5 km,2,1.0,0.0,182.0,82.0,1M-1.5M
Charles St,h,Biggin,Northern Metropolitan,3.0,< 5 km,2,1.0,1.0,172.0,81.0,1M-1.5M
Halsey Rd,t,Nelson,Western Metropolitan,7.0,10-15 km,3,2.0,1.0,303.0,225.0,500k-1M
Bedford St,h,Nelson,Western Metropolitan,7.0,10-15 km,3,2.0,1.0,0.0,145.0,500k-1M
Bedford St,h,Nelson,Western Metropolitan,7.0,10-15 km,3,2.0,1.0,0.0,145.0,500k-1M
Hart St,h,Nelson,Western Metropolitan,7.0,10-15 km,2,1.0,1.0,272.0,84.0,500k-1M
